,PI,Expedition,OS region,Reference,URL ref,Method comm,Date/Time,Station,Latitude,Longitude,Depth water [m],Perc [%],Inc dur [h],CaCO3 prod C [mmol/m**3/day],CaCO3 prod C std dev [±],PP C [mmol/m**3/day],PP C std dev [±],coccolith_count,ehux_count
0,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-10T00:00,2,4.0,-110.0,6.83,52.0,24.0,0.02,0.01,0.64,0.19,,
1,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-11T00:00,3,3.0,-110.0,11.07,52.0,24.0,0.03,0.0,0.77,0.04,,
2,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-11T00:00,3,3.0,-110.0,21.58,31.0,24.0,0.02,0.0,0.71,0.08,,
3,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-11T00:00,3,3.0,-110.0,36.56,13.0,24.0,0.01,0.0,0.47,0.11,,
4,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-11T00:00,3,3.0,-110.0,56.07,5.0,24.0,0.0,0.0,0.18,0.04,,
5,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-11T00:00,3,3.0,-110.0,89.25,0.8,24.0,0.0,0.0,0.02,0.01,,
6,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-11T00:00,3,3.0,-110.0,122.22,0.1,24.0,0.0,0.0,0.01,0.01,,
7,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-12T00:00,4,2.0,-110.0,12.75,52.0,24.0,0.07,0.07,1.5,0.31,,
8,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-12T00:00,4,2.0,-110.0,23.34,31.0,24.0,0.06,0.04,1.41,0.03,,
9,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-12T00:00,4,2.0,-110.0,39.28,13.0,24.0,0.03,0.0,0.77,0.27,,
10,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-12T00:00,4,2.0,-110.0,58.61,5.0,24.0,0.01,0.0,0.51,0.28,,
11,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-12T00:00,4,2.0,-110.0,93.76,0.8,24.0,0.01,0.02,0.39,0.23,,
12,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-13T00:00,5,1.0,-110.0,13.13,52.0,24.0,0.03,0.01,1.17,0.07,,
13,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-13T00:00,5,1.0,-110.0,24.75,31.0,24.0,0.01,0.01,0.97,0.05,,
14,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-13T00:00,5,1.0,-110.0,40.51,13.0,24.0,0.02,0.0,0.69,0.05,,
15,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-13T00:00,5,1.0,-110.0,61.04,5.0,24.0,0.0,0.0,0.4,0.06,,
16,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-13T00:00,5,1.0,-110.0,97.1,0.8,24.0,0.0,0.0,0.07,0.03,,
17,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-13T00:00,5,1.0,-110.0,130.83,0.1,24.0,0.0,0.0,0.02,0.01,,
18,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-14T00:00,7,0.0,-110.0,11.82,52.0,24.0,0.03,0.0,0.94,0.02,,
19,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-14T00:00,7,0.0,-110.0,23.18,31.0,24.0,0.03,0.0,1.13,0.08,,
20,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-14T00:00,7,0.0,-110.0,38.49,13.0,24.0,0.03,0.0,0.8,0.05,,
21,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-14T00:00,7,0.0,-110.0,59.47,5.0,24.0,0.01,0.0,0.49,0.18,,
22,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-14T00:00,7,0.0,-110.0,94.49,0.8,24.0,0.0,0.0,0.04,0.01,,
23,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-15T00:00,9,-1.0,-110.0,11.39,52.0,24.0,0.03,0.01,0.92,0.15,,
24,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-15T00:00,9,-1.0,-110.0,21.75,31.0,24.0,0.02,0.01,0.79,0.08,,
25,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-15T00:00,9,-1.0,-110.0,39.43,13.0,24.0,0.02,0.0,0.53,0.06,,
26,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-15T00:00,9,-1.0,-110.0,57.97,5.0,24.0,0.01,0.0,0.48,0.16,,
27,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-15T00:00,9,-1.0,-110.0,91.8,0.8,24.0,0.0,0.0,0.3,0.16,,
28,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-15T00:00,9,-1.0,-110.0,124.24,0.1,24.0,0.0,0.0,0.01,0.01,,
29,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-16T00:00,10,-2.0,-110.0,12.09,52.0,24.0,0.02,0.01,0.86,0.06,,
30,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-16T00:00,10,-2.0,-110.0,22.52,31.0,24.0,0.01,0.0,0.83,0.19,,
31,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-16T00:00,10,-2.0,-110.0,36.83,13.0,24.0,0.01,0.0,0.44,0.04,,
32,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-16T00:00,10,-2.0,-110.0,56.02,5.0,24.0,0.01,0.0,0.51,0.06,,
33,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-18T00:00,12,-4.0,-110.0,11.62,52.0,24.0,0.02,0.0,0.59,0.07,,
34,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-18T00:00,12,-4.0,-110.0,21.62,31.0,24.0,0.02,0.0,0.67,0.06,,
35,Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi:10.1016/j.dsr2.2010.08.004,MDT,2004-12-18T00:00,12,-4.0,-110.0,38.98,13.0,24.0,0.02,0.0,0.45,0.03,,
