sample,column,depth (m),Y89(LR),Zr90(LR),Cd111(LR),In115(LR),La139(LR),Pb208(LR),Sc45(MR),Ti47(MR),V51(MR),Mn55(MR),Fe56(MR),Co59(MR),Ni60(MR),Cu63(MR),Zn66(MR),Ga69(MR)
St  1 1,1,5348,167.4728144,205.2827051,0.377086373,377.0863734,36.42861479,13.85393076,22.72770663,139.0119932,25.33947567,0.087253487,0.505338066,14.14280869,5.30601236,1.886258607,3.084777035,35.48360591
St  1 2,2,5001,164.9964611,210.5234915,0.371314786,371.3147864,36.21264468,12.86949373,24.2895065,138.3758529,24.81142159,0.105585165,0.519805397,15.56477728,5.329759936,1.843662063,3.092895488,36.00922603
St  1 3,3,4500,164.5021385,204.1517191,0.371267501,371.2675005,34.19033903,13.09903886,25.38479767,130.6568122,24.22216524,0.107269285,0.577417039,15.14978145,5.240270067,1.853442881,2.803998193,34.76513799
St  1 4,4,3997,157.8503263,214.8019102,0.365481167,365.4811673,31.32934795,16.84857961,26.681239,153.8424099,24.66623119,0.12671163,0.517259541,18.75402799,5.393397628,1.82243817,2.769983318,38.34327505
St  1 5,5,3500,148.2136585,217.8701245,0.340921679,340.9216788,27.99563996,21.43929914,24.01448479,186.7149244,26.52756685,0.132565017,0.662499063,19.58474746,5.03519871,1.637519699,3.273527056,35.28366653
St  1 6,6,3000,146.5611422,206.8366443,0.330999438,330.9994376,27.56134271,30.00879711,26.68445715,215.2606894,28.21352183,0.145294773,0.702093446,24.58708902,4.919280065,1.445797636,3.958058933,36.43589668
St  1 7,7,2501,142.1592281,192.7306172,0.298086976,298.0869761,23.72468694,35.60195825,26.0512588,191.4386907,27.41029753,0.171201463,0.634416139,30.81817814,4.535557303,1.129442773,2.11717656,35.11413337
St  1 8,8,1999,147.0231385,206.4541556,0.284298223,284.2982227,22.76576359,47.99304524,26.22466318,256.6319174,30.88293192,0.103304855,0.639497918,36.42096502,3.756572911,0.980415231,2.008580349,26.04328451
St  1 9,1,1751,147.4532961,175.1393939,0.26026712,260.2671202,22.65182261,49.8886984,24.77487466,157.9950469,26.1115915,0.15440974,0.701492211,38.02740596,4.003614192,0.771100222,1.820424228,38.72660151
St  1 10,2,1500,147.735548,180.6776872,0.23367143,233.6714303,21.91966391,51.20515226,26.01363138,136.0073939,26.95928556,0.161878208,0.66379051,35.65386583,4.000919773,0.774672224,1.979428292,40.78274311
St  1 11,3,1251,155.3706792,163.0587243,0.209931656,209.9316561,21.90348175,53.25826529,28.01436435,83.5098793,25.01000064,0.162281716,0.693727059,34.52107928,3.848187043,0.706378486,2.025488758,44.3150948
St  1 12,4,1002,155.8370225,158.963771,0.199841376,199.8413761,21.89263772,53.47838357,26.18545851,82.39859466,26.94084488,0.182975333,0.671840705,35.45132984,3.779849413,0.688828582,1.731736563,43.08516661
St  1 13,5,750,147.6688491,143.8359577,0.197249213,197.2492134,21.10429785,50.87064203,21.32499975,91.18813534,28.50218995,0.16791708,0.73866461,36.35154325,3.469628826,0.673570419,1.563558981,39.24321218
St  1 14,6,501,140.9147717,107.873984,0.159839317,159.8393174,21.34114944,38.0264134,16.25339903,55.73540951,27.94039114,0.198767192,0.502952782,39.07646072,3.218216772,0.637532087,0.717563258,35.02867469
St  1 15,7,400,142.1394007,107.5829398,0.141018409,141.0184093,20.85236679,34.04517398,13.30902207,64.54256857,28.47526832,0.253469236,0.416395313,37.28600053,3.031147416,0.611090701,0.44592176,31.84987241
St  1 16,8,300,147.0822612,101.5089533,0.110428289,110.4282893,21.02198136,32.4060316,13.36147644,80.23759508,28.69509124,0.3091201,0.668585137,33.42807753,2.894514007,0.576286352,1.053315356,36.46030464
St  1 17,1,250,143.9785339,95.24718432,0.092405166,92.40516629,19.85014359,29.96085107,13.25861075,52.33929942,24.96179019,0.28826576,0.222287085,31.64710742,2.710125018,0.523934976,0.223414484,34.92005231
St  1 18,2,199,134.4063478,84.12183564,0.052986536,52.98653594,18.35815265,27.9139295,9.790621114,40.70439302,24.25737156,0.469016869,0.172843679,26.03653085,2.483343822,0.523565655,0.142816455,34.63859568
St  1 19,3,150,131.3749999,69.60941654,0.025207996,25.20799575,17.79786294,30.59200308,8.630695085,43.90527398,24.06677595,0.608749709,0.309530086,21.18950575,2.430260305,0.539615352,0.474000657,34.85224372
St  1 20,4,100,133.5564633,71.38047549,0.010779431,10.77943117,17.71702927,33.62119876,6.87598831,45.71895665,23.85005549,0.711595601,0.231442743,20.44432539,2.621457821,0.507096315,0.666554814,35.3611048
